date,year,event,figure_value,unit,description,source_name,source_url
1960-09-14,1960,OPEC founded,,,"Iran was one of five founding members of OPEC (with Iraq, Kuwait, Saudi Arabia, Venezuela), formed in Baghdad on 14 September 1960 to negotiate collectively with foreign oil companies over posted prices.",Wikipedia - OPEC,https://en.wikipedia.org/wiki/OPEC
1973-03-16,1973,Nationalization announced,,,"The Shah announced that the foreign oil consortium had handed over operation of the Iranian oil industry; on 20 March 1973 production and refining facilities were placed under control of the National Iranian Oil Company (NIOC), ending the 1954 Consortium Agreement's direct operating role.",Wikipedia - Petroleum industry in Iran,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
1974,1974,Historical production peak (Pahlavi era),6.0+,million barrels/day,"Iran reached its historical oil-production peak of more than 6 million b/d in 1974, under the Shah, prior to the 1979 revolution.",Wikipedia - Petroleum industry in Iran / EBSCO Research Starters,https://en.wikipedia.org/wiki/Petroleum_industry_in_Iran
1982-03,1982,First formal OPEC quota system introduced,17.5 (overall ceiling); 18 (initial ceiling proposal),million barrels/day (OPEC-wide),"OPEC's first attempt to control production and stabilize prices amid a 1980-86 demand contraction: members initially agreed a ~18 million b/d overall ceiling (March 1982, against then-production of ~17.4M b/d) which was subsequently tightened; individual country quotas were assigned for the first time. An overall 17.5 million b/d ceiling with individual quotas is also cited for this period. Iran-specific quota figure not confirmed in accessible sources this round (flagged gap below).",Wikipedia - 1980-1989 world oil market chronology / OPEC (Wikipedia),https://en.wikipedia.org/wiki/1982_world_oil_market_chronology
1983-10,1983,Overall ceiling cut,17.5,million barrels/day (OPEC-wide),"OPEC agreed to limit overall output to 17.5 Mbbl/d and cut the reference price by $5 to $29/barrel; Saudi Arabia formally adopted the 'swing producer' role, absorbing production swings so other members (incl. Iran) could hold their assigned quotas.",Wikipedia - Chronology of world oil market events,https://en.wikipedia.org/wiki/Chronology_of_world_oil_market_events
1986,1986,Quota system suspended (price war),,,"Amid a global oil glut and Saudi Arabia's abandonment of the swing-producer role, OPEC's country-quota system collapsed / was suspended, triggering the 1986 oil price crash (prices fell below $10/barrel at the trough).",Wikipedia - OPEC / oilempire.us OPEC quota wars summary (secondary),https://en.wikipedia.org/wiki/OPEC
1990-07,1990,Post-quota-restoration overall ceiling,22.5,million barrels/day (OPEC-wide),"OPEC restored an overall ceiling of 22.5 million b/d in July 1990, with Saudi Arabia's share set at ~25% (~5.6 million b/d) and the UAE's quota raised to 1.5 million b/d; reference price target $21/barrel. This is shortly before the Aug 1990 Iraqi invasion of Kuwait disrupted the agreement.",MERIP - 'OPEC Since the Gulf War' (1992),https://www.merip.org/1992/05/opec-since-the-gulf-war/
1992-02,1992,Post-Gulf-crisis quota compromise,22.982,million barrels/day (OPEC-wide),"Following the 1990-91 Gulf crisis (Kuwaiti production knocked out by the Iraqi invasion/war), OPEC's February 1992 meeting set a new overall ceiling of 22.982 million b/d. Saudi Arabia sought a permanent 35% market share; Iran was among members that resisted formalizing this as a permanent allocation, agreeing only to a temporary Saudi quota at that level.",MERIP - 'OPEC Since the Gulf War' (1992),https://www.merip.org/1992/05/opec-since-the-gulf-war/
1993-09,1993,Extraordinary session revises country allocations,,,"OPEC convened an extraordinary session in September 1993 to revise individual country quotas to better match then-current production capacity. Qatar, Venezuela, Saudi Arabia, and Iran all received substantial quota increases in this revision.",Oil & Gas Journal - 'OPEC's challenge: Rethinking its quota system',https://www.ogj.com/drilling-production/production-operations/article/17239967/opecs-challenge-rethinking-its-quota-system
1998-2016,1998,Iraq excluded from OPEC quota agreements,,,"Iraq remained an OPEC member throughout but its production was excluded from the collective quota agreements from 1998 to 2016 due to war/sanctions-related political difficulties, meaning Iran's relative quota share within active agreements was calculated without Iraq as a constraint for this stretch.",Oil & Gas Journal - 'OPEC's challenge: Rethinking its quota system',https://www.ogj.com/drilling-production/production-operations/article/17239967/opecs-challenge-rethinking-its-quota-system
2012-03,2012,EU oil embargo begins,,,"The EU oil embargo on Iran (part of the nuclear-program sanctions regime) took effect, sharply cutting Iran's crude exports and, by extension, its actual production well below any nominal OPEC quota/capacity level for the following several years.",EIA - 'Sanctions reduced Iran's oil exports and revenues in 2012',https://www.eia.gov/todayinenergy/detail.php?id=11011
2016-01,2016,JCPOA Implementation Day; Iran seeks quota exemption,,,"Following the January 2016 implementation of the Joint Comprehensive Plan of Action (JCPOA) and removal of EU/UN nuclear-related sanctions on Iran's energy sector, Iran declared its intent to rapidly restore production/exports to pre-2012-embargo levels and refused to accept a formal OPEC production quota that would have capped this recovery.",RUSI - 'The Oil War between Iran and Saudi Arabia',https://www.rusi.org/explore-our-research/publications/commentary/oil-war-between-iran-and-saudi-arabia
2016-02,2016,Iran rejects Feb 2016 Saudi/Russia/Qatar/Venezuela freeze proposal,,,"When Saudi Arabia, Russia, Qatar, and Venezuela discussed a production freeze in Vienna in February 2016 (oil near $30/barrel), Iran declined to participate, unwilling to freeze output before recovering its pre-sanctions market share.",RUSI - 'The Oil War between Iran and Saudi Arabia',https://www.rusi.org/explore-our-research/publications/commentary/oil-war-between-iran-and-saudi-arabia
2016-12,2016,OPEC+ formed; Iran granted quota exemption,,,"OPEC (with Russia and other non-OPEC producers) formed the 'OPEC+' voluntary production-cut coalition in December 2016 to address oversupply. Iran was granted an exemption from the new production cuts, permitted to raise output toward its pre-sanctions baseline while other members cut.",Wikipedia (RUSI-sourced synthesis) / GIS Reports - 'Iran's diminishing influence on oil markets',https://www.gisreportsonline.com/r/iran-oil-market-influence/
2018-05,2018,US re-imposes sanctions (JCPOA withdrawal),,,"The US withdrew from the JCPOA and reimposed 'maximum pressure' sanctions on Iran's oil sector starting May 2018 (full force from Nov 2018), collapsing Iran's exports again; Iran's OPEC+ exemption from production CUTS continued throughout, since its output was already being suppressed by sanctions rather than by a voluntary agreement.",Stimson Center - 'Iran's Oil Exports: Resilience Amid Sanctions and Snapback' (2025),https://www.stimson.org/2025/irans-oil-exports-resilience-amid-sanctions-and-snapback/
2020-07,2020,Sanctions-era production trough,1.93,million barrels/day,Iran's crude oil production hit a record low of 1.93 million b/d in July 2020 under 'maximum pressure' sanctions (vs. an unconstrained capacity assessed at ~3.8 million b/d).,FRED (IRNNGDPMOMBD) / EIA background reference,https://fred.stlouisfed.org/series/IRNNGDPMOMBD
2024,2024,Post-sanctions-era production recovery,"4.619 (year-end 2024, per EIA); 3.257 (2024 average, per OPEC secondary sources)",million barrels/day,"Iran's oil production recovered through 2024 amid loosened sanctions enforcement: EIA cites 4.619 million b/d for 2024; OPEC secondary-source data (as reported via PressTV, state-media-attributed) cites a 2024 average of 3.257 million b/d, up 12.93% from 2023, continuing into Dec 2024 (3.293M b/d) and Jan 2025 (3.28M b/d). Iran remained exempt from OPEC+ voluntary cuts throughout, as a sanctions-constrained producer rather than a cut participant.","EIA Iran's oil / PressTV (state-media-attributed, cross-checked against OPEC-sourced figure) - 'Iran's oil output up nearly 13% in 2024: OPEC data'",https://www.eia.gov/international/content/analysis/countries_long/iran/ ; https://www.presstv.ir/Detail/2025/02/12/742699/Iran-oil-production-increase-2024-OPEC-data
2025,2025,Exemption status unchanged,,,"As of 2025, Iran remains formally exempt from OPEC+ production-cut quotas due to ongoing sanctions constraints on its actual output; no OPEC decision has reinstated a binding numerical quota for Iran in the current OPEC+ framework.",AGSI - 'Tougher Sanctions on Iran May Help Other OPEC+ Producers' / Atlantic Council Energy Sanctions Dashboard,https://agsi.org/analysis/tougher-sanctions-on-iran-may-help-other-opec-producers/
